Date,Open,High,Low,Close,Adj Close,Volume
2017-08-14,29.360001,29.870001,29.290001,29.799999,29.799999,2749600
2017-08-15,29.670000,29.670000,29.000000,29.150000,29.150000,4051100
2017-08-16,29.219999,29.459999,29.219999,29.340000,29.340000,3256600
2017-08-17,29.350000,29.420000,29.180000,29.200001,29.200001,2796300
2017-08-18,29.240000,29.250000,28.809999,28.850000,28.850000,2694200
2017-08-21,28.900000,29.469999,28.790001,29.379999,29.379999,2386800
2017-08-22,29.400000,29.440001,28.770000,28.950001,28.950001,3134900
2017-08-23,29.030001,29.490000,28.900000,29.459999,29.459999,2316900
2017-08-24,29.469999,29.700001,29.330000,29.410000,29.410000,3109600
2017-08-25,29.530001,29.700001,29.400000,29.540001,29.540001,2389100
2017-08-28,29.559999,29.590000,29.180000,29.280001,29.280001,1639800
2017-08-29,29.360001,29.610001,29.299999,29.510000,29.510000,3439600
2017-08-30,29.459999,29.590000,29.280001,29.540001,29.540001,2782100
2017-08-31,29.590000,29.879999,29.580000,29.809999,29.809999,3045600
2017-09-01,29.820000,30.180000,29.820000,30.139999,30.139999,2500600
2017-09-05,30.110001,30.389999,29.959999,30.170000,30.170000,2903400
2017-09-06,30.209999,30.430000,30.059999,30.120001,30.120001,4136200
2017-09-07,30.160000,30.290001,30.070000,30.150000,30.150000,2519300
2017-09-08,30.129999,30.590000,30.030001,30.209999,30.209999,4905700
2017-09-11,30.250000,30.549999,30.170000,30.330000,30.330000,4214371
