Date,Open,High,Low,Close,Adj Close,Volume
2017-08-14,245.589996,246.789993,245.550003,246.539993,246.539993,72139000
2017-08-15,246.979996,247.000000,246.160004,246.509995,246.509995,55242700
2017-08-16,247.110001,247.570007,246.449997,246.940002,246.940002,56715500
2017-08-17,246.240005,246.600006,243.089996,243.089996,243.089996,128490400
2017-08-18,242.899994,244.190002,242.199997,242.710007,242.710007,136748000
2017-08-21,242.639999,243.199997,241.830002,242.899994,242.899994,65469700
2017-08-22,243.570007,245.619995,243.550003,245.440002,245.440002,63140100
2017-08-23,244.330002,245.050003,244.160004,244.559998,244.559998,50203800
2017-08-24,245.000000,245.179993,243.750000,243.990005,243.990005,49730500
2017-08-25,244.899994,245.610001,244.389999,244.559998,244.559998,64445900
2017-08-28,245.169998,245.199997,244.089996,244.570007,244.570007,40565600
2017-08-29,243.059998,245.149994,242.929993,244.850006,244.850006,51135700
2017-08-30,244.830002,246.320007,244.619995,246.009995,246.009995,62030800
2017-08-31,246.720001,247.770004,246.050003,247.490005,247.490005,103803900
2017-09-01,247.919998,248.330002,247.669998,247.839996,247.839996,62007000
2017-09-05,247.259995,247.520004,244.949997,246.059998,246.059998,91398800
2017-09-06,246.839996,247.279999,246.229996,246.899994,246.899994,57916900
2017-09-07,247.250000,247.270004,246.399994,246.869995,246.869995,58034700
2017-09-08,246.539993,247.110001,246.300003,246.580002,246.580002,62187200
2017-09-11,248.039993,249.300003,248.029999,249.139999,249.139999,59869840
